Time	Open	High	Low	Close	Volume	MovingAverage	AlligatorJaw	AlligatorTeeth	AlligatorLips	RSI
2024.09.09 01:00	2496.74	2497.97	2496.14	2497.84	1660	2495.795714285707	2495.9165384615408	2494.984374999994	2493.2330000000243	50.33233096086816
2024.09.09 02:00	2497.89	2498.27	2495.52	2496.87	2633	2495.863571428564	2495.4657692307715	2494.754999999994	2494.538000000024	46.71090241995741
2024.09.09 03:00	2496.92	2498.25	2495.61	2495.93	4168	2495.96785714285	2495.56730769231	2494.513124999994	2496.020000000024	49.67852176072864
2024.09.09 04:00	2495.91	2498.67	2494.69	2497.65	9101	2496.4764285714214	2495.441153846156	2494.205624999994	2497.909000000024	55.883651859718974
2024.09.09 05:00	2497.66	2499.14	2496.96	2497.22	4865	2496.525714285707	2495.5257692307714	2494.4187499999944	2498.3780000000243	50.29068602904935
2024.09.09 06:00	2497.21	2500.38	2496.74	2499.27	3484	2496.988571428564	2495.5165384615407	2495.5937499999945	2498.4660000000245	55.49292849009766
2024.09.09 07:00	2499.27	2499.5	2497.5	2498.23	3206	2498.276428571421	2495.443076923079	2496.5456249999943	2499.6820000000243	56.76497017029416
2024.09.09 08:00	2498.2	2498.32	2487.44	2487.92	7252	2499.441428571421	2495.6976923076945	2497.0156249999945	2500.228000000024	56.925349480866
2024.09.09 09:00	2487.88	2493.62	2485.53	2489.79	9509	2500.349999999993	2496.109230769233	2498.1837499999947	2500.245000000024	57.9555054116525
2024.09.09 10:00	2489.79	2496.7	2488.89	2494.3	9402	2501.391428571422	2496.148461538464	2499.1949999999947	2501.6750000000243	57.504751171667245
2024.09.09 11:00	2494.38	2495.64	2490.03	2492.16	7269	2502.034285714279	2496.033461538464	2499.9762499999947	2503.5990000000243	55.24087388359832
2024.09.09 12:00	2492.16	2497.6	2492.09	2496.37	4954	2502.707142857136	2496.3119230769257	2501.006249999995	2504.4460000000245	52.71240396512746
2024.09.09 13:00	2496.42	2499.14	2493.09	2494.4	5109	2503.1228571428505	2496.6530769230794	2501.752499999995	2505.1900000000246	51.38866429379832
2024.09.09 14:00	2494.42	2498.85	2493.35	2497.19	4404	2503.2371428571364	2497.382692307695	2502.2693749999958	2505.941000000025	50.5282767986863
2024.09.09 15:00	2497.46	2504.05	2496.36	2500.9	7927	2503.375714285708	2498.518461538464	2503.452499999996	2506.042000000025	49.22309371343336
2024.09.09 16:00	2500.88	2505.24	2499.32	2499.81	9456	2503.873571428565	2499.547692307695	2504.648124999995	2505.385000000025	52.89229557787301
